t,symbol,high,low,open,close,volume
1645506000000,TSLA,285.5779,267.0334,278.0433,273.8433,83199102.0
1645592400000,TSLA,278.4332,253.52,276.81,254.68,95230638.0
1645678800000,TSLA,267.4933,233.3333,233.4633,266.9233,135304215.0
1645765200000,TSLA,273.1667,260.8002,269.7433,269.9567,76018263.0
1646024400000,TSLA,292.2867,271.5692,271.67,290.1433,99006867.0
1646110800000,TSLA,296.6267,284.5933,289.8933,288.1233,74616861.0
1646197200000,TSLA,295.4933,281.424,290.71,293.2967,74640258.0
1646283600000,TSLA,295.4797,277.5334,292.9233,279.7633,61620507.0
1646370000000,TSLA,285.2167,275.0536,283.0333,279.43,67165461.0
1646629200000,TSLA,288.7133,268.19,285.4333,268.1933,72494172.0
1646715600000,TSLA,283.33,260.7233,265.1767,274.8,80369106.0
1646802000000,TSLA,286.8533,277.3367,279.8267,286.3233,59172669.0
1646888400000,TSLA,284.8167,270.12,283.8167,279.4333,58648644.0
1646974800000,TSLA,281.2673,264.59,280.0657,265.1167,67037166.0
1647230400000,TSLA,266.9,252.0133,260.2033,255.4567,71131263.0
1647316800000,TSLA,268.5233,252.19,258.4233,267.2967,66839703.0
1647403200000,TSLA,280.6667,267.42,269.6667,280.0767,84028821.0
1647489600000,TSLA,291.6667,275.2393,276.9967,290.5333,66582972.0
1647576000000,TSLA,302.6167,289.13,291.4967,301.7967,100378191.0
1647835200000,TSLA,314.2833,302.3633,304.9933,307.0533,81980352.0
1647921600000,TSLA,332.62,307.25,310.0,331.3267,105838857.0
1648008000000,TSLA,346.9,325.4667,326.6467,333.0367,120476469.0
1648094400000,TSLA,341.4967,329.6,336.5767,337.9733,68914878.0
1648180800000,TSLA,340.6,332.44,336.0,336.88,61968846.0
1648440000000,TSLA,365.96,351.2,355.0333,363.9467,102300579.0
1648526400000,TSLA,371.59,357.7033,369.33,366.5233,73601607.0
1648612800000,TSLA,371.3167,361.3333,363.7233,364.6633,59865006.0
1648699200000,TSLA,367.7133,358.8803,364.8567,359.2,48992757.0
1648785600000,TSLA,364.9167,355.5467,360.3833,361.53,54263223.0
1649044800000,TSLA,383.3033,357.51,363.1267,381.8167,82177701.0
1649131200000,TSLA,384.29,362.4333,378.7667,363.7533,79925019.0
1649217600000,TSLA,359.6667,342.5667,357.8233,348.5867,89348535.0
1649304000000,TSLA,358.8633,340.5134,350.7967,352.42,79436259.0
1649390400000,TSLA,349.48,340.8117,347.7367,341.83,54777669.0
1649649600000,TSLA,336.156,324.88,326.8,325.31,59357205.0
1649736000000,TSLA,340.3974,325.5334,332.5467,328.9833,65976096.0
1649822400000,TSLA,342.08,324.3657,327.025,340.79,55104912.0
1649908800000,TSLA,337.57,327.3967,333.0967,328.3333,58413105.0
1650254400000,TSLA,338.3067,324.47,329.6767,334.7633,51712161.0
1650340800000,TSLA,344.98,331.775,335.02,342.7167,49814232.0
1650427200000,TSLA,344.6667,325.0834,343.3333,325.7333,70604766.0
1650513600000,TSLA,364.0733,332.1383,358.2433,336.26,105409695.0
1650600000000,TSLA,344.95,331.3334,338.3033,335.0167,69680658.0
1650859200000,TSLA,336.2067,325.1,326.3233,332.6733,68341335.0
1650945600000,TSLA,333.3333,291.6667,331.81,292.14,136091667.0
1651032000000,TSLA,306.0,292.4533,299.5267,293.8367,76956396.0
1651118400000,TSLA,300.0,273.9,299.9933,292.5033,124940391.0
1651204800000,TSLA,311.4666,290.0,300.75,290.2533,88124595.0
1651464000000,TSLA,302.12,282.6767,286.9233,300.98,75781371.0
1651550400000,TSLA,308.0267,296.1967,301.06,303.0833,63709575.0
1651636800000,TSLA,318.5,295.0933,301.3133,317.54,81568704.0
1651723200000,TSLA,315.2,285.9,313.07,291.0933,92519193.0
1651809600000,TSLA,296.0,281.035,295.6667,288.55,72895911.0
1652068800000,TSLA,281.8767,260.3833,278.8167,262.37,90195672.0
1652155200000,TSLA,275.12,258.0833,273.1033,266.68,84401631.0
1652241600000,TSLA,269.9233,242.4,265.0,244.6667,96846759.0
1652328000000,TSLA,253.22,226.6667,233.6667,242.6667,140312862.0
1652414400000,TSLA,262.45,250.5217,257.8267,256.53,92000724.0
1652673600000,TSLA,256.5867,239.6962,255.72,241.4567,86094219.0
1652760000000,TSLA,254.8267,242.95,249.12,253.87,80236110.0
1652846400000,TSLA,253.5,233.6033,248.1733,236.6033,87211812.0
1652932800000,TSLA,244.6667,231.37,235.6667,236.4733,90296673.0
1653019200000,TSLA,240.5273,211.0,237.9967,221.3,144926805.0
1653278400000,TSLA,226.6517,212.6867,218.34,224.9667,88847838.0
1653364800000,TSLA,217.9733,206.8567,217.8433,209.3867,89079615.0
1653451200000,TSLA,223.1067,207.67,207.95,219.6,92139324.0
1653537600000,TSLA,239.5566,217.8867,220.4733,235.91,105103344.0
1653624000000,TSLA,253.2667,240.177,241.0833,253.21,89296227.0
1653969600000,TSLA,259.6,244.7433,257.9467,252.7533,101914371.0
1654056000000,TSLA,257.3267,243.64,251.72,246.79,77247963.0
1654142400000,TSLA,264.21,242.0667,244.1567,258.3333,93473118.0
1654228800000,TSLA,247.7966,233.4178,243.225,234.5167,112393737.0
1654488000000,TSLA,244.8667,234.35,244.3533,238.28,84204522.0
